:123 lhs, fn, arg1, arg2 =  i c f f 0
:123 lhs, fn, arg1, arg2 =  j c i f 0
:123 lhs, fn, arg1, arg2 =  k c i i 0
:123 lhs, fn, arg1, arg2 =  l c k f 0
:123 lhs, fn, arg1, arg2 =  m c k i 0
:123 lhs, fn, arg1, arg2 =  n c m f 0
:123 lhs, fn, arg1, arg2 =  o c k k 0
:123 lhs, fn, arg1, arg2 =  p c o f 0
:123 lhs, fn, arg1, arg2 =  q c o i 0
:123 lhs, fn, arg1, arg2 =  r c q f 0
:123 lhs, fn, arg1, arg2 =  s c o k 0
:123 lhs, fn, arg1, arg2 =  t c s f 0
:123 lhs, fn, arg1, arg2 =  u c s i 0
:123 lhs, fn, arg1, arg2 =  v c u f 0
:123 lhs, fn, arg1, arg2 =  w c o o 0
:123 lhs, fn, arg1, arg2 =  x c w f 0
:123 lhs, fn, arg1, arg2 =  y c w i 0
:123 lhs, fn, arg1, arg2 =  A c y f 0
:123 lhs, fn, arg1, arg2 =  B c w k 0
:123 lhs, fn, arg1, arg2 =  C c B f 0
:123 lhs, fn, arg1, arg2 =  D c B i 0
:123 lhs, fn, arg1, arg2 =  E c D f 0
:123 lhs, fn, arg1, arg2 =  F c w o 0
:123 lhs, fn, arg1, arg2 =  G c F f 0
:123 lhs, fn, arg1, arg2 =  H c F i 0
:123 lhs, fn, arg1, arg2 =  I c H f 0
:123 lhs, fn, arg1, arg2 =  J c F k 0
:123 lhs, fn, arg1, arg2 =  K c J f 0
:123 lhs, fn, arg1, arg2 =  L c J i 0
:123 lhs, fn, arg1, arg2 =  M c L f 0
:123 lhs, fn, arg1, arg2 =  N c w w 0
:123 lhs, fn, arg1, arg2 =  O c N N 0
:123 lhs, fn, arg1, arg2 =  P c O O 0
:123 lhs, fn, arg1, arg2 =  Q c P O 0
:123 lhs, fn, arg1, arg2 =  R c Q N 0
:123 lhs, fn, arg1, arg2 =  S c R k 0
:123 lhs, fn, arg1, arg2 =  T c S i 0
:123 lhs, fn, arg1, arg2 =  U c O N 0
:123 lhs, fn, arg1, arg2 =  V c U o 0
:123 lhs, fn, arg1, arg2 =  W c O w 0
:123 lhs, fn, arg1, arg2 =  X c W k 0
:123 lhs, fn, arg1, arg2 =  Y c V k 0
:123 lhs, fn, arg1, arg2 =  Ѐ c Y i 0
:123 lhs, fn, arg1, arg2 =  Ё c Ѐ f 0
:123 lhs, fn, arg1, arg2 =  Ђ c Q o 0
:123 lhs, fn, arg1, arg2 =  Ѓ c Ђ k 0
:123 lhs, fn, arg1, arg2 =  Є c Ѓ f 0
:123 lhs, fn, arg1, arg2 =  Ѕ c P N 0
:123 lhs, fn, arg1, arg2 =  І c Ѕ w 0
:123 lhs, fn, arg1, arg2 =  Ї c І o 0
:123 lhs, fn, arg1, arg2 =  Ј c Ї i 0
:123 lhs, fn, arg1, arg2 =  Љ c Ј f 0
:123 lhs, fn, arg1, arg2 =  Њ c P k 0
:123 lhs, fn, arg1, arg2 =  Ћ c Њ i 0
:123 lhs, fn, arg1, arg2 =  Ќ c І i 0
:123 lhs, fn, arg1, arg2 =  Ѝ c Ќ f 0
:123 lhs, fn, arg1, arg2 =  Ў c W o 0
:123 lhs, fn, arg1, arg2 =  Џ c Ў k 0
:123 lhs, fn, arg1, arg2 =  А c Џ i 0
:123 lhs, fn, arg1, arg2 =  Б c І k 0
:123 lhs, fn, arg1, arg2 =  В c Б f 0
:123 lhs, fn, arg1, arg2 =  Г c N k 0
:123 lhs, fn, arg1, arg2 =  Д c Г f 0
:123 lhs, fn, arg1, arg2 =  Е c Ї k 0
:123 lhs, fn, arg1, arg2 =  Ж c Е i 0
:123 lhs, fn, arg1, arg2 =  З c Ж f 0
:123 lhs, fn, arg1, arg2 =  И c R w 0
:123 lhs, fn, arg1, arg2 =  Й c И o 0
:123 lhs, fn, arg1, arg2 =  К c Й k 0
:123 lhs, fn, arg1, arg2 =  Л c U k 0
:123 lhs, fn, arg1, arg2 =  М c Л i 0
:123 lhs, fn, arg1, arg2 =  Н c М f 0
:123 lhs, fn, arg1, arg2 =  О c И k 0
:123 lhs, fn, arg1, arg2 =  П c О i 0
:123 lhs, fn, arg1, arg2 =  Р c П f 0
:123 lhs, fn, arg1, arg2 =  С c U w 0
:123 lhs, fn, arg1, arg2 =  Т c С i 0
:123 lhs, fn, arg1, arg2 =  У c Q k 0
:123 lhs, fn, arg1, arg2 =  Ф c У i 0
:123 lhs, fn, arg1, arg2 =  Х c Ѓ i 0
:123 lhs, fn, arg1, arg2 =  Ц c Q w 0
:123 lhs, fn, arg1, arg2 =  Ч c Ц o 0
:123 lhs, fn, arg1, arg2 =  Ш c Ч k 0
:123 lhs, fn, arg1, arg2 =  Щ c Ш i 0
:123 lhs, fn, arg1, arg2 =  Ъ c Щ f 0
:123 lhs, fn, arg1, arg2 =  Ы c R i 0
:123 lhs, fn, arg1, arg2 =  Ь c Ы f 0
:123 lhs, fn, arg1, arg2 =  Э c К i 0
:123 lhs, fn, arg1, arg2 =  Ю c Э f 0
:123 lhs, fn, arg1, arg2 =  Я c С o 0
:123 lhs, fn, arg1, arg2 =  а c Я i 0
:123 lhs, fn, arg1, arg2 =  б c Г i 0
:123 lhs, fn, arg1, arg2 =  в c Й i 0
:123 lhs, fn, arg1, arg2 =  г c R o 0
:123 lhs, fn, arg1, arg2 =  д c г k 0
:123 lhs, fn, arg1, arg2 =  е c д i 0
:123 lhs, fn, arg1, arg2 =  ж d Т a 0
:123 lhs, fn, arg1, arg2 =  з c Л f 0
:123 lhs, fn, arg1, arg2 =  и d з a 0
:123 lhs, fn, arg1, arg2 =  ж c ж и 0
:123 lhs, fn, arg1, arg2 =  й c С k 0
:123 lhs, fn, arg1, arg2 =  к d й a 0
:123 lhs, fn, arg1, arg2 =  ж c ж к 0
:123 lhs, fn, arg1, arg2 =  л c й f 0
:123 lhs, fn, arg1, arg2 =  м d л a 0
:123 lhs, fn, arg1, arg2 =  ж c ж м 0
